Section,Item #,Checklist Item,Owning Agent(s),Code Artifact,Status,Notes,Questions,Last updated,Update Log
01 Loan Received to Processing,1,Confirm LO cover sheet and borrower docs uploaded to Unassigned (File Manager),none (manual intake),—,"Not Implemented, Needs Clarification",Pre-processing intake; no agent owns it,What is the LO cover sheet? What borrower docs do we need to check for?,"June 30, 2026",
01 Loan Received to Processing,2,Confirm initial disclosures downloaded for all borrowers,review,—,Implemented,Checks if Maryland Initial Disclosures are uploaded to the Efolder,,"June 30, 2026",
01 Loan Received to Processing,3,Confirm correct program code; review secondary financing / DPA,none,—,Not Implemented,No program-code validation tool,,"June 30, 2026",
01 Loan Received to Processing,4,Confirm borrower names in Encompass match sales contract,review,review_borrower_summary.py,Implemented,"Borrower name vs Purchase Contract buyer name (pa_buyer_name, surname containment); purchase loans",,2026-07-01,2026-07-01 built buyer-name check
01 Loan Received to Processing,5,Confirm property address matches sales contract (purchase) / property docs (refi),review,review_borrower_summary.py,Implemented,Purchase: property vs contract/USPS; Refi: cash-out + owner-occupied rate/term current-address vs subject,,2026-07-01,2026-07-01 built refi current-address vs subject
01 Loan Received to Processing,6,Confirm borrower SSN and DOB match ID or docs,review,review_borrower_summary.py,Implemented,"Borrower SSN vs Credit Report (last-4 compare) + DOB vs Credit Report / Driver's License OCR; name-vs-ID already covered. Confirms on match, warns on mismatch.",,2026-07-01,2026-07-01 built SSN + DOB vs ID/credit checks
01 Loan Received to Processing,7,Confirm 1003 completed with 2-year residence and employment history,review,review_urla_page1.py:191-244 + review_urla_employment.py:407-420,Implemented,"Residence 2-yr rule: 
≥24mo auto-writes Former Address in 1003 as N/A
<24mo requires former address (warns if blank); same for co-borrower. 

Employment:
<2yr triggers prior-employer/gap checks",,"June 30, 2026",
01 Loan Received to Processing,8,Order VOEs (Work Number & Experian),integrations,— (no xactus_client.py),"Not Implemented, Ordering blocked by unavailable credentials",VOE pull from Xactus absent everywhere,,"June 30, 2026",
01 Loan Received to Processing,9,Order FHA Case # and enter in Encompass,"review, integrations",update_fha_management.py:234-272,"Partial, Ordering blocked by unavailable credentials",Writes FHA Case # (field 1040) from extracted FHA Government Documents when blank (FHA loans only); does not ORDER the case # via FHA Connection,,"June 30, 2026",
01 Loan Received to Processing,10,Order flood cert and fraud report; review fraud alerts,integrations,field_utils.py:1258-1303,"Not Implemented, Ordering blocked by unavailable credentials","Only flood-zone detection from extracted docs; no order, no fraud-alert review",,"June 30, 2026",
01 Loan Received to Processing,11,Order title docs (Processor Workflow - Order Outs),communications,graphs/processor_title_order.py,Implemented,"Dashboard feature allows ordering of title docs via email, not currently handled via Processor Workflow in Encompass",,"July 6, 2026","July 6, 2026: Indicated as implemented"
01 Loan Received to Processing,12,Order appraisal; order VA case # if applicable,integrations,output/tools/channel_a.py:87-192,"Partial, Ordering blocked by unavailable credentials",order_appraisal library complete but agent.py dispatch stub returns ACTION_NOT_IMPLEMENTED,,"June 30, 2026",
01 Loan Received to Processing,13,Order CAIVRS and tax transcripts if applicable,integrations,—,"Not Implemented, Ordering blocked by unavailable credentials",No tool,,"June 30, 2026",
01 Loan Received to Processing,14,Submit documents to Ocrolus for income calc / indexing,integrations,— (no tools/ocrolus.py),Ordering blocked by unavailable credentials,,,"June 30, 2026",
02 File Contacts & Vesting,1,Update Escrow/Settlement Company (license + order #),review,review_file_contacts.py,Implemented,Estimated Settlement Statement is read for license and oreder # and values are written to File Contacts,,"June 30, 2026",
02 File Contacts & Vesting,2,Update Title Insurance Company (license + order #),review,review_file_contacts.py (_sync_title_company),Implemented,Title Insurance Company file contact auto-written from Title Report: company name + company license (bizLicenseNumber) + commitment/order # (referenceNumber) + issuing agent/contact (personalLicenseNumber) + phone/email/address. Create-or-overwrite-differing with info-overwrite flags; no-op if no title data.,What is the reference doc in writing Title Insurance Company in File Contacts?,"July 3, 2026",2026-07-03: Built Title Insurance Company write rule (TITLE_INSURANCE_COMPANY contact from Title Report).
02 File Contacts & Vesting,3,"If Purchase, update Selling & Listing Agent Info",review,review_file_contacts.py:33-38,Implemented,Writes info to File Contacts from Almas' notes or image,,"June 30, 2026",
02 File Contacts & Vesting,4,"If Purchase, update Seller Names and Address",review,review_file_contacts.py,Implemented,Write address to Seller contacts  if missing,,"June 30, 2026",
02 File Contacts & Vesting,5,"If Attorney State, update Attorney Information",none,—,"Not Implemented, Needs Clarification",No tool,Where do we get attorney info from?,"July 1, 2026",Added question
02 File Contacts & Vesting,6,"Update HOI Company Name, Phone & Email",none,review_file_contacts.py (1.2),Implemented,"HAZARD_INSURANCE file contact auto-filled from Evidence of Insurance (company_name/phone/agent_email + contact/address) via review_file_contacts (1.2); create-or-overwrite with info-overwrite audit flag, phone/email validated",,2026-07-13,2026-07-13 shipped 02 #6 HOI/Flood contact auto-fill in review_file_contacts (STEP_01 1.2)
02 File Contacts & Vesting,7,"Update Flood Company Name, Phone & Email",none,review_file_contacts.py (1.2),Implemented,FLOOD_INSURANCE file contact auto-filled from Flood policy/cert (company_name/company_phone/contact_email + contact/address) via review_file_contacts (1.2); required_docs.json flood keys corrected to live CatchingDoc schema (company_*/contact_*),,2026-07-13,2026-07-13 shipped 02 #7 HOI/Flood contact auto-fill in review_file_contacts (STEP_01 1.2)
02 File Contacts & Vesting,8,OO Refi Only: add Non-Borrowing Spouse/Owner contact,none,—,Not Implemented,No tool,,"June 30, 2026",
02 File Contacts & Vesting,9,Confirm title holders; Manner Held + Build Final Vesting,review,update_urla_lender.py:277-385 + update_borrower_vesting.py:157-424,Implemented,"Manner Held (field 33 + URLA.X138) now computed from state/marital/co-borrower/NBS/sex with write-if-empty, full state-rule matrix (Tenancy by Entirety all non-CP states, NV Joint Tenants force, community-property, Tenants in Common for unmarried co-owners, Sole Ownership) + Estate=FeeSimple (1066); vesting intent=Will Occupy done; Build Final Vesting is written ",,"June 30, 2026",
02 File Contacts & Vesting,10,Update Trust Vesting Info (if applicable),none,—,Not Implemented,No trust vesting logic,,"June 30, 2026",
